"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","Heterosexual / straight","110","105","22240","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Heterosexual / straight","75","70","27540","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","Heterosexual / straight","160","140","54430","52880"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","Unknown","45","40","55750","55870"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","Heterosexual / straight","50","50","35040","34410"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","AA/AO","Heterosexual / straight","105","95","23610","24480"
"In post","2023","Attorney General's Departments","East of England","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","EO","Heterosexual / straight","85","80","28830","28200"
"In post","2023","Attorney General's Departments","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","EO","Unknown","25","20","[c]","[c]"
