"Status","Year","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","AO","Female","95","90","22440","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","AO","Male","35","35","22010","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Female","70","60","27690","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Male","30","30","27450","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","G7","Female","130","115","53450","52420"
"In post","2023","Attorney General's Departments","East Midlands (England)","G7","Male","75","70","54670","54900"
"In post","2023","Attorney General's Departments","East Midlands (England)","HEO","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","AO","Female","105","90","23530","24480"
"In post","2023","Attorney General's Departments","East of England","AO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","EO","Female","90","80","28960","28850"
"In post","2023","Attorney General's Departments","East of England","EO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","G6","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","G6","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","G7","Female","135","115","58520","57590"
"In post","2023","Attorney General's Departments","East of England","G7","Male","80","80","59970","60800"
"In post","2023","Attorney General's Departments","East of England","HEO","Female","30","30","34090","34080"
"In post","2023","Attorney General's Departments","East of England","HEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","SEO","Female","35","30","40660","40800"
"In post","2023","Attorney General's Departments","East of England","SEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AO","Female","275","255","24240","24480"
"In post","2023","Attorney General's Departments","London","AO","Male","130","130","24230","24480"
"In post","2023","Attorney General's Departments","London","EO","Female","550","520","29200","28410"
"In post","2023","Attorney General's Departments","London","EO","Male","255","250","29310","28470"
"In post","2023","Attorney General's Departments","London","G6","Female","595","530","69530","67650"
"In post","2023","Attorney General's Departments","London","G6","Male","360","350","71480","69050"
"In post","2023","Attorney General's Departments","London","G7","Female","1100","1015","56860","54100"
"In post","2023","Attorney General's Departments","London","G7","Male","540","530","57760","54420"
"In post","2023","Attorney General's Departments","London","HEO","Female","260","250","35950","34450"
"In post","2023","Attorney General's Departments","London","HEO","Male","175","175","36150","34450"
"In post","2023","Attorney General's Departments","London","SCS level","Female","165","155","88310","81650"
"In post","2023","Attorney General's Departments","London","SCS level","Male","100","100","89680","84760"
"In post","2023","Attorney General's Departments","London","SEO","Female","170","160","41150","40800"
"In post","2023","Attorney General's Departments","London","SEO","Male","145","145","41760","41400"
"In post","2023","Attorney General's Departments","North East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","AO","Female","70","60","22240","22870"
"In post","2023","Attorney General's Departments","North East (England)","AO","Male","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","EO","Female","65","60","27740","27150"
"In post","2023","Attorney General's Departments","North East (England)","EO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","G6","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","G7","Female","80","75","54820","55290"
"In post","2023","Attorney General's Departments","North East (England)","G7","Male","60","60","55110","55870"
"In post","2023","Attorney General's Departments","North East (England)","HEO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SEO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","AO","Female","175","160","22790","22870"
"In post","2023","Attorney General's Departments","North West (England)","AO","Male","60","60","22390","22870"
"In post","2023","Attorney General's Departments","North West (England)","EO","Female","180","165","27960","28640"
"In post","2023","Attorney General's Departments","North West (England)","EO","Male","55","55","28060","28850"
"In post","2023","Attorney General's Departments","North West (England)","G6","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","G6","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","G7","Female","245","225","54430","54670"
"In post","2023","Attorney General's Departments","North West (England)","G7","Male","170","165","55130","56450"
"In post","2023","Attorney General's Departments","North West (England)","HEO","Female","50","45","32690","32390"
"In post","2023","Attorney General's Departments","North West (England)","HEO","Male","30","30","32810","32520"
"In post","2023","Attorney General's Departments","North West (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SEO","Female","45","45","39280","38940"
"In post","2023","Attorney General's Departments","North West (England)","SEO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AO","Female","110","105","24000","24480"
"In post","2023","Attorney General's Departments","South East (England)","AO","Male","65","65","23810","24480"
"In post","2023","Attorney General's Departments","South East (England)","EO","Female","130","120","29050","28200"
"In post","2023","Attorney General's Departments","South East (England)","EO","Male","40","40","29170","28200"
"In post","2023","Attorney General's Departments","South East (England)","G6","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","G6","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","G7","Female","190","170","59290","58820"
"In post","2023","Attorney General's Departments","South East (England)","G7","Male","115","110","60490","61100"
"In post","2023","Attorney General's Departments","South East (England)","HEO","Female","40","40","34430","33780"
"In post","2023","Attorney General's Departments","South East (England)","HEO","Male","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SEO","Female","35","35","41270","40800"
"In post","2023","Attorney General's Departments","South East (England)","SEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","AO","Female","50","50","22380","22870"
"In post","2023","Attorney General's Departments","South West (England)","AO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","EO","Female","55","50","27740","27280"
"In post","2023","Attorney General's Departments","South West (England)","EO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","G6","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","G7","Female","110","95","53910","52310"
"In post","2023","Attorney General's Departments","South West (England)","G7","Male","80","75","55630","56450"
"In post","2023","Attorney General's Departments","South West (England)","HEO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","AO","Female","70","60","22880","22870"
"In post","2023","Attorney General's Departments","Wales","AO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","EO","Female","60","55","27790","27400"
"In post","2023","Attorney General's Departments","Wales","EO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","G6","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","G6","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","G7","Female","115","105","54270","54800"
"In post","2023","Attorney General's Departments","Wales","G7","Male","70","65","55570","56450"
"In post","2023","Attorney General's Departments","Wales","HEO","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SEO","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","AO","Female","105","95","22760","22870"
"In post","2023","Attorney General's Departments","West Midlands (England)","AO","Male","30","30","23030","22870"
"In post","2023","Attorney General's Departments","West Midlands (England)","EO","Female","100","95","27720","26900"
"In post","2023","Attorney General's Departments","West Midlands (England)","EO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","G6","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","G7","Female","180","160","54020","53750"
"In post","2023","Attorney General's Departments","West Midlands (England)","G7","Male","85","80","56240","56450"
"In post","2023","Attorney General's Departments","West Midlands (England)","HEO","Female","30","25","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
