"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","40","40","23990","24480"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","40","35","29300","28870"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","90","80","61270","63370"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","20","20","38100","38660"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA/AO","30","25","23920","24480"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","50","45","61220","59050"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","25","25","36970","36170"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Cheshire East","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","G6/G7","10","10","67140","59690"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","10","10","53870","56450"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","AA/AO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","G6/G7","15","15","57210","55870"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","West Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","West Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","AA/AO","80","75","22390","22870"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","EO","70","65","27420","26900"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","G6/G7","115","105","54850","53150"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","SCS level","[c]","[c]","[c]","[c]"
