"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","AA/AO","Heterosexual / straight","310","295","24140","24480"
"In post","2023","Attorney General's Departments","London","AA/AO","LGBO","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA/AO","Unknown","65","60","24540","24480"
"In post","2023","Attorney General's Departments","London","EO","Heterosexual / straight","590","565","29180","28200"
"In post","2023","Attorney General's Departments","London","EO","LGBO","45","45","29230","28410"
"In post","2023","Attorney General's Departments","London","EO","Undeclared","50","50","29340","28410"
"In post","2023","Attorney General's Departments","London","EO","Unknown","120","110","29480","29710"
"In post","2023","Attorney General's Departments","London","G6/G7","Heterosexual / straight","1770","1655","61090","60770"
"In post","2023","Attorney General's Departments","London","G6/G7","LGBO","135","130","61980","61920"
"In post","2023","Attorney General's Departments","London","G6/G7","Undeclared","165","155","62790","64480"
"In post","2023","Attorney General's Departments","London","G6/G7","Unknown","530","480","64690","65650"
"In post","2023","Attorney General's Departments","London","SCS level","Heterosexual / straight","175","165","89400","82700"
"In post","2023","Attorney General's Departments","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","SCS level","Unknown","55","50","90280","82680"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Heterosexual / straight","535","520","38220","38860"
"In post","2023","Attorney General's Departments","London","SEO/HEO","LGBO","50","50","39490","40540"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Undeclared","40","40","38890","40000"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Unknown","125","120","37970","36780"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","Heterosexual / straight","940","875","22870","22870"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","LGBO","70","70","22610","22870"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","Undeclared","45","40","22940","22870"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","Unknown","185","155","23120","22870"
"In post","2023","Attorney General's Departments","Outside London","EO","Heterosexual / straight","885","830","28010","28120"
"In post","2023","Attorney General's Departments","Outside London","EO","LGBO","70","70","27640","26900"
"In post","2023","Attorney General's Departments","Outside London","EO","Undeclared","35","35","28230","27400"
"In post","2023","Attorney General's Departments","Outside London","EO","Unknown","200","180","28700","28850"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","Heterosexual / straight","1840","1715","56640","55170"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","LGBO","80","75","57360","56450"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","Undeclared","65","65","55570","54100"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","Unknown","540","475","59240","56450"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Heterosexual / straight","50","50","92710","86810"
"In post","2023","Attorney General's Departments","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","Heterosexual / straight","700","675","36400","38070"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","LGBO","45","45","35060","32660"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","Undeclared","40","35","36610","38760"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","Unknown","105","100","35650","35000"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Heterosexual / straight","60","60","25370","25280"
"In post","2023","Cabinet Office","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","London","EO","Heterosexual / straight","235","225","28830","28370"
"In post","2023","Cabinet Office","London","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Cabinet Office","London","EO","Undeclared","30","30","28730","28370"
"In post","2023","Cabinet Office","London","EO","Unknown","80","75","28860","28370"
"In post","2023","Cabinet Office","London","G6/G7","Heterosexual / straight","1475","1450","62370","59590"
"In post","2023","Cabinet Office","London","G6/G7","LGBO","170","170","60850","56430"
"In post","2023","Cabinet Office","London","G6/G7","Undeclared","185","180","60850","58120"
"In post","2023","Cabinet Office","London","G6/G7","Unknown","445","440","61900","59040"
"In post","2023","Cabinet Office","London","SCS level","Heterosexual / straight","355","345","104270","96440"
"In post","2023","Cabinet Office","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office","London","SCS level","Undeclared","35","35","98000","83750"
"In post","2023","Cabinet Office","London","SCS level","Unknown","115","115","103100","95000"
"In post","2023","Cabinet Office","London","SEO/HEO","Heterosexual / straight","1025","1015","37380","35650"
"In post","2023","Cabinet Office","London","SEO/HEO","LGBO","150","150","36680","35650"
"In post","2023","Cabinet Office","London","SEO/HEO","Undeclared","110","110","37690","36680"
"In post","2023","Cabinet Office","London","SEO/HEO","Unknown","1035","1030","31920","30130"
"In post","2023","Cabinet Office","Outside London","AA/AO","Heterosexual / straight","245","225","21720","21720"
"In post","2023","Cabinet Office","Outside London","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","AA/AO","Unknown","55","50","21820","21830"
"In post","2023","Cabinet Office","Outside London","EO","Heterosexual / straight","330","310","25850","26030"
"In post","2023","Cabinet Office","Outside London","EO","LGBO","45","40","25290","24610"
"In post","2023","Cabinet Office","Outside London","EO","Undeclared","20","15","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","EO","Unknown","80","75","25940","26170"
"In post","2023","Cabinet Office","Outside London","G6/G7","Heterosexual / straight","1085","1065","60920","56880"
"In post","2023","Cabinet Office","Outside London","G6/G7","LGBO","75","75","56450","52840"
"In post","2023","Cabinet Office","Outside London","G6/G7","Undeclared","85","85","59750","56430"
"In post","2023","Cabinet Office","Outside London","G6/G7","Unknown","275","270","62860","62390"
"In post","2023","Cabinet Office","Outside London","SCS level","Heterosexual / straight","145","145","102730","97230"
"In post","2023","Cabinet Office","Outside London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Outside London","SCS level","Unknown","30","30","115760","115300"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","Heterosexual / straight","1215","1180","35860","34320"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","LGBO","105","105","34700","33020"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","Undeclared","95","95","35540","34320"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","Unknown","535","530","32330","30130"
"In post","2023","Cabinet Office","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","Unknown","30","30","25120","24330"
"In post","2023","Cabinet Office","Unknown","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","G6/G7","Unknown","15","10","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","Heterosexual / straight","30","30","36120","35740"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Chancellor's other departments","London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","London","G6/G7","Heterosexual / straight","130","125","81400","76500"
"In post","2023","Chancellor's other departments","London","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","G6/G7","Undeclared","35","35","71070","63470"
"In post","2023","Chancellor's other departments","London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SEO/HEO","Heterosexual / straight","85","80","42560","43500"
"In post","2023","Chancellor's other departments","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Charity Commission","London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Charity Commission","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Charity Commission","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Charity Commission","Outside London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Charity Commission","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","Charity Commission","Outside London","EO","Heterosexual / straight","55","50","25630","25300"
