"Status","Year","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","Heterosexual / straight","3375","3205","49970","52020"
"In post","2023","Attorney General's Departments","London","LGBO","270","260","51530","52020"
"In post","2023","Attorney General's Departments","London","Undeclared","285","275","52310","54100"
"In post","2023","Attorney General's Departments","London","Unknown","895","820","54800","57710"
"In post","2023","Attorney General's Departments","Outside London","Heterosexual / straight","4410","4140","40900","38760"
"In post","2023","Attorney General's Departments","Outside London","LGBO","270","265","37250","28850"
"In post","2023","Attorney General's Departments","Outside London","Undeclared","185","180","39030","34450"
"In post","2023","Attorney General's Departments","Outside London","Unknown","1030","920","44860","49530"
"In post","2023","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","Heterosexual / straight","3150","3090","55740","56430"
"In post","2023","Cabinet Office","London","LGBO","365","360","50280","55790"
"In post","2023","Cabinet Office","London","Undeclared","370","360","54060","56430"
"In post","2023","Cabinet Office","London","Unknown","1700","1685","44490","32960"
"In post","2023","Cabinet Office","Outside London","Heterosexual / straight","3015","2915","45860","39070"
"In post","2023","Cabinet Office","Outside London","LGBO","245","245","39970","34020"
"In post","2023","Cabinet Office","Outside London","Undeclared","225","220","44600","38460"
"In post","2023","Cabinet Office","Outside London","Unknown","975","955","42580","32960"
"In post","2023","Cabinet Office","Unknown","Heterosexual / straight","80","75","44260","38050"
"In post","2023","Cabinet Office","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Unknown","70","65","40260","28840"
"In post","2023","Chancellor's other departments","London","Heterosexual / straight","255","245","63580","55960"
"In post","2023","Chancellor's other departments","London","LGBO","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","London","Undeclared","70","65","61330","54980"
"In post","2023","Chancellor's other departments","London","Unknown","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Heterosexual / straight","60","55","49340","44940"
"In post","2023","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Heterosexual / straight","45","45","45590","38800"
"In post","2023","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","Unknown","30","30","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Heterosexual / straight","230","220","34840","30170"
"In post","2023","Charity Commission","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Charity Commission","Outside London","Unknown","150","145","32900","30170"
"In post","2023","Competition and Markets Authority","London","Heterosexual / straight","635","615","62760","58060"
