"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","AA/AO","AO","Female","1190","1080","23230","22870"
"In post","2023","Attorney General's Departments","AA/AO","AO","Male","450","440","23250","22870"
"In post","2023","Attorney General's Departments","EO","EO","Female","1455","1350","28510","28200"
"In post","2023","Attorney General's Departments","EO","EO","Male","540","535","28720","28200"
"In post","2023","Attorney General's Departments","G6/G7","G6","Female","720","645","69540","67730"
"In post","2023","Attorney General's Departments","G6/G7","G6","Male","470","460","71990","69930"
"In post","2023","Attorney General's Departments","G6/G7","G7","Female","2530","2295","55950","54230"
"In post","2023","Attorney General's Departments","G6/G7","G7","Male","1405","1355","56990","55850"
"In post","2023","Attorney General's Departments","SCS level","SCS level","Female","200","190","88740","83810"
"In post","2023","Attorney General's Departments","SCS level","SCS level","Male","130","125","90350","85060"
"In post","2023","Attorney General's Departments","SEO/HEO","HEO","Female","575","550","34570","33300"
"In post","2023","Attorney General's Departments","SEO/HEO","HEO","Male","340","335","34700","33300"
"In post","2023","Attorney General's Departments","SEO/HEO","SEO","Female","435","420","40320","40000"
"In post","2023","Attorney General's Departments","SEO/HEO","SEO","Male","275","275","40810","40540"
"In post","2023","Cabinet Office","AA/AO","AO","Female","245","220","22430","21720"
"In post","2023","Cabinet Office","AA/AO","AO","Male","195","190","22730","21720"
"In post","2023","Cabinet Office","EO","EO","Female","515","480","27120","27430"
"In post","2023","Cabinet Office","EO","EO","Male","360","355","26840","27100"
"In post","2023","Cabinet Office","G6/G7","G6","Female","545","535","69680","66530"
"In post","2023","Cabinet Office","G6/G7","G6","Male","580","575","70970","66610"
"In post","2023","Cabinet Office","G6/G7","G7","Female","1360","1315","57460","56430"
"In post","2023","Cabinet Office","G6/G7","G7","Male","1370","1355","58470","56430"
"In post","2023","Cabinet Office","SCS level","SCS level","Female","320","305","97970","92070"
"In post","2023","Cabinet Office","SCS level","SCS level","Male","410","405","107700","98690"
"In post","2023","Cabinet Office","SEO/HEO","HEO","Female","1755","1725","32220","32880"
"In post","2023","Cabinet Office","SEO/HEO","HEO","Male","1275","1265","32550","32960"
"In post","2023","Cabinet Office","SEO/HEO","SEO","Female","720","700","40630","41050"
"In post","2023","Cabinet Office","SEO/HEO","SEO","Male","580","580","40840","41410"
"In post","2023","Chancellor's other departments","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","EO","EO","Female","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","EO","EO","Male","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","G6/G7","G6","Female","55","50","86140","80480"
"In post","2023","Chancellor's other departments","G6/G7","G6","Male","75","70","92160","84840"
"In post","2023","Chancellor's other departments","G6/G7","G7","Female","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","G6/G7","G7","Male","60","60","56130","56260"
"In post","2023","Chancellor's other departments","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","SEO/HEO","HEO","Female","25","25","[c]","[c]"
"In post","2023","Chancellor's other departments","SEO/HEO","HEO","Male","35","35","37080","37240"
"In post","2023","Chancellor's other departments","SEO/HEO","SEO","Female","40","40","47250","46680"
"In post","2023","Chancellor's other departments","SEO/HEO","SEO","Male","35","35","46550","46700"
"In post","2023","Charity Commission","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2023","Charity Commission","EO","EO","Female","75","75","25640","25300"
"In post","2023","Charity Commission","EO","EO","Male","45","40","25840","25300"
"In post","2023","Charity Commission","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G7","Female","40","40","53320","52240"
"In post","2023","Charity Commission","G6/G7","G7","Male","15","15","[c]","[c]"
"In post","2023","Charity Commission","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","HEO","Female","95","90","30510","30170"
