"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Female","Heterosexual / straight","5265","4875","43650","40800"
"In post","2023","Attorney General's Departments","Female","LGBO","275","265","41160","31180"
"In post","2023","Attorney General's Departments","Female","Undeclared","290","275","45760","45230"
"In post","2023","Attorney General's Departments","Female","Unknown","1280","1115","48260","53220"
"In post","2023","Attorney General's Departments","Male","Heterosexual / straight","2525","2470","47300","49050"
"In post","2023","Attorney General's Departments","Male","LGBO","265","260","47780","51860"
"In post","2023","Attorney General's Departments","Male","Undeclared","180","180","49140","52020"
"In post","2023","Attorney General's Departments","Male","Unknown","650","630","51980","56450"
"In post","2023","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Female","Heterosexual / straight","3405","3280","48140","41870"
"In post","2023","Cabinet Office","Female","LGBO","295","290","44510","40500"
"In post","2023","Cabinet Office","Female","Undeclared","290","280","48450","50450"
"In post","2023","Cabinet Office","Female","Unknown","1460","1430","41860","31060"
"In post","2023","Cabinet Office","Male","Heterosexual / straight","2840","2805","54060","52760"
"In post","2023","Cabinet Office","Male","LGBO","330","330","47810","42120"
"In post","2023","Cabinet Office","Male","Undeclared","315","310","51970","51290"
"In post","2023","Cabinet Office","Male","Unknown","1285","1275","45810","34250"
"In post","2023","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Female","Heterosexual / straight","145","135","57570","49140"
"In post","2023","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Female","Undeclared","35","30","54680","49550"
"In post","2023","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Male","Heterosexual / straight","170","170","63810","55590"
"In post","2023","Chancellor's other departments","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Male","Undeclared","50","50","63790","55180"
"In post","2023","Chancellor's other departments","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Female","Heterosexual / straight","165","155","36970","30170"
"In post","2023","Charity Commission","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","Female","Undeclared","15","10","[c]","[c]"
"In post","2023","Charity Commission","Female","Unknown","110","105","34780","30170"
"In post","2023","Charity Commission","Male","Heterosexual / straight","115","110","36190","30170"
"In post","2023","Charity Commission","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Male","Unknown","70","70","35110","30170"
"In post","2023","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Female","Heterosexual / straight","380","360","60630","57540"
"In post","2023","Competition and Markets Authority","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","Female","Undeclared","40","40","63580","56500"
"In post","2023","Competition and Markets Authority","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Male","Heterosexual / straight","360","350","63590","58790"
"In post","2023","Competition and Markets Authority","Male","LGBO","50","50","65700","59720"
"In post","2023","Competition and Markets Authority","Male","Undeclared","40","40","68810","68920"
"In post","2023","Competition and Markets Authority","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","5125","4810","42270","39750"
"In post","2023","Department for Business, Energy and Industrial Strategy","Female","LGBO","430","420","41060","39650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Female","Undeclared","585","555","42710","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","Female","Unknown","1095","1025","36890","33190"
"In post","2023","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","4865","4765","45590","42460"
"In post","2023","Department for Business, Energy and Industrial Strategy","Male","LGBO","445","440","44580","41360"
"In post","2023","Department for Business, Energy and Industrial Strategy","Male","Undeclared","750","730","45280","41890"
"In post","2023","Department for Business, Energy and Industrial Strategy","Male","Unknown","1115","1090","41020","37930"
"In post","2023","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","770","745","49430","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Female","LGBO","100","95","45680","45930"
"In post","2023","Department for Digital, Culture, Media and Sport","Female","Undeclared","85","85","43360","35690"
"In post","2023","Department for Digital, Culture, Media and Sport","Female","Unknown","105","105","46920","44600"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","605","600","50740","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","LGBO","125","125","49470","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","Undeclared","60","60","47750","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","Unknown","90","90","44800","39330"
"In post","2023","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Female","Heterosexual / straight","3935","3720","44600","41440"
"In post","2023","Department for Education","Female","LGBO","300","290","43830","38210"
"In post","2023","Department for Education","Female","Undeclared","360","345","44970","41440"
"In post","2023","Department for Education","Female","Unknown","515","490","45310","41440"
"In post","2023","Department for Education","Male","Heterosexual / straight","2470","2445","46970","43630"
"In post","2023","Department for Education","Male","LGBO","235","235","45090","39550"
"In post","2023","Department for Education","Male","Undeclared","280","280","46420","44020"
"In post","2023","Department for Education","Male","Unknown","385","380","46410","43830"
"In post","2023","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","5400","5035","36140","31850"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","LGBO","415","400","35880","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","Undeclared","590","545","35360","31430"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","Unknown","990","905","34560","30350"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","3740","3675","38600","36250"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","LGBO","405","400","37070","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","Undeclared","540","525","36710","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","Unknown","995","970","36410","32470"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Female","Heterosexual / straight","1090","1060","47610","42480"
"In post","2023","Department for International Trade","Female","LGBO","90","90","45070","41550"
"In post","2023","Department for International Trade","Female","Undeclared","90","90","45970","41750"
