"Status","Year","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","145","145","46570","42250"
"In post","2023","Commercial","East of England","265","250","45670","40620"
"In post","2023","Commercial","London","1710","1680","58580","56000"
"In post","2023","Commercial","North East (England)","185","180","44750","39090"
"In post","2023","Commercial","North West (England)","935","910","45170","39190"
"In post","2023","Commercial","Northern Ireland","10","10","32450","29720"
"In post","2023","Commercial","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Scotland","385","380","42110","37060"
"In post","2023","Commercial","South East (England)","555","545","43970","40750"
"In post","2023","Commercial","South West (England)","1755","1685","43560","41800"
"In post","2023","Commercial","Unknown","10","10","56290","38470"
"In post","2023","Commercial","Wales","420","395","37670","34170"
"In post","2023","Commercial","West Midlands (England)","390","380","46430","39380"
"In post","2023","Commercial","Yorkshire and The Humber","785","750","45160","38470"
"In post","2023","Communications","East Midlands (England)","125","120","40050","37710"
"In post","2023","Communications","East of England","75","70","36390","34300"
"In post","2023","Communications","London","1995","1955","49110","44970"
"In post","2023","Communications","North East (England)","125","120","37200","35000"
"In post","2023","Communications","North West (England)","255","245","39580","37590"
"In post","2023","Communications","Northern Ireland","25","25","40450","38660"
"In post","2023","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","105","100","40230","38170"
"In post","2023","Communications","South East (England)","290","280","36280","33990"
"In post","2023","Communications","South West (England)","325","305","37300","34890"
"In post","2023","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","430","405","39260","37720"
"In post","2023","Communications","West Midlands (England)","175","170","40230","37680"
"In post","2023","Communications","Yorkshire and The Humber","185","175","42530","40790"
"In post","2023","Corporate Finance","London","70","70","57190","50240"
"In post","2023","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","South West (England)","15","10","41890","38710"
"In post","2023","Corporate Finance","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","545","500","31180","28120"
"In post","2023","Counter Fraud","East of England","465","430","30440","30540"
"In post","2023","Counter Fraud","London","1975","1865","37160","32540"
"In post","2023","Counter Fraud","North East (England)","805","740","29120","28120"
"In post","2023","Counter Fraud","North West (England)","1025","945","31720","28120"
"In post","2023","Counter Fraud","Northern Ireland","110","110","31680","28130"
"In post","2023","Counter Fraud","Scotland","830","765","27820","28120"
"In post","2023","Counter Fraud","South East (England)","970","885","30400","28120"
"In post","2023","Counter Fraud","South West (England)","515","465","30490","28120"
"In post","2023","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Wales","740","670","28880","28120"
"In post","2023","Counter Fraud","West Midlands (England)","755","685","30820","28120"
"In post","2023","Counter Fraud","Yorkshire and The Humber","860","795","31870","28120"
"In post","2023","Digital, Data and Technology","East Midlands (England)","420","410","39780","37300"
"In post","2023","Digital, Data and Technology","East of England","535","515","38060","35650"
"In post","2023","Digital, Data and Technology","London","5300","5210","51590","48070"
