"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","10","10","38210","36000"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","40","40","28300","28540"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","35","35","63240","59660"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","115","110","40130","40750"
"In post","2023","Commercial","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Cheshire","SEO/HEO","25","25","37570","38180"
"In post","2023","Commercial","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Unknown","15","15","39930","42620"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","G6/G7","40","35","62690","56470"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","50","45","39430","39490"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Devon","G6/G7","25","25","58740","57880"
"In post","2023","Commercial","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","SEO/HEO","40","40","37640","38050"
"In post","2023","Commercial","Devon","Unknown","10","10","41150","42620"
"In post","2023","Commercial","Dorset and Somerset","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","G6/G7","15","15","59940","57750"
"In post","2023","Commercial","Dorset and Somerset","SEO/HEO","35","30","40030","39230"
"In post","2023","Commercial","East Anglia","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","East Anglia","EO","15","15","27420","27470"
"In post","2023","Commercial","East Anglia","G6/G7","60","60","66090","66000"
"In post","2023","Commercial","East Anglia","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East Anglia","SEO/HEO","150","145","38720","39860"
"In post","2023","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","EO","35","35","27420","27250"
"In post","2023","Commercial","East Wales","G6/G7","45","40","60450","59060"
"In post","2023","Commercial","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","SEO/HEO","120","115","36630","34680"
"In post","2023","Commercial","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","AA/AO","35","30","26220","28490"
"In post","2023","Commercial","Eastern Scotland","EO","15","15","33470","33290"
"In post","2023","Commercial","Eastern Scotland","G6/G7","15","15","65480","63680"
"In post","2023","Commercial","Eastern Scotland","SEO/HEO","35","35","42180","41790"
"In post","2023","Commercial","Eastern Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","130","125","23470","22220"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","125","120","26810","27080"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","365","355","60480","56000"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","45","45","108150","102820"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","810","775","38110","37300"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","130","125","43960","42620"
"In post","2023","Commercial","Greater Manchester","AA/AO","10","10","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","EO","30","30","27610","27650"
"In post","2023","Commercial","Greater Manchester","G6/G7","140","135","65970","65500"
"In post","2023","Commercial","Greater Manchester","SCS level","10","10","98700","94550"
