"Status","Year","Profession_of_post","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","95","90","41900","40750"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","60","60","46440","42910"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Cumbria","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Cumbria","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Female","Heterosexual / straight","45","45","44970","41610"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Male","Heterosexual / straight","30","30","57630","55250"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Female","Heterosexual / straight","45","45","42380","40050"
"In post","2023","Commercial","Devon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","Devon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","Female","Heterosexual / straight","100","90","43570","40620"
"In post","2023","Commercial","East Anglia","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","East Anglia","Female","Undeclared","15","10","[c]","[c]"
"In post","2023","Commercial","East Anglia","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Commercial","East Anglia","Male","Heterosexual / straight","60","60","47570","40460"
"In post","2023","Commercial","East Anglia","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","East Anglia","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","East Anglia","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","Female","Heterosexual / straight","85","85","39730","34170"
"In post","2023","Commercial","East Wales","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","East Wales","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","East Wales","Male","Heterosexual / straight","65","65","41120","38060"
"In post","2023","Commercial","East Wales","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","East Wales","Male","Unknown","20","15","[c]","[c]"
"In post","2023","Commercial","East Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Male","Heterosexual / straight","35","30","43810","42590"
"In post","2023","Commercial","Eastern Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","Heterosexual / straight","655","615","42160","41000"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","Undeclared","70","65","41710","42210"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","Unknown","100","95","38480","33990"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","Heterosexual / straight","545","535","46200","42700"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","LGBO","30","30","40090","35910"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","Undeclared","70","70","44510","42620"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","Unknown","110","110","46710","39890"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","Female","Heterosexual / straight","145","135","48390","41780"
"In post","2023","Commercial","Greater Manchester","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","Female","Unknown","35","35","49380","42140"
"In post","2023","Commercial","Greater Manchester","Male","Heterosexual / straight","100","100","50820","43300"
"In post","2023","Commercial","Greater Manchester","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","Male","Undeclared","10","5","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","Male","Unknown","50","50","52600","54130"
"In post","2023","Commercial","Greater Manchester","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hampshire and Isle of Wight","Female","Heterosexual / straight","140","135","39770","35800"
"In post","2023","Commercial","Hampshire and Isle of Wight","Female","LGBO","5","5","[c]","[c]"
