"Status","Year","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Heterosexual / straight","5390","5210","47720","41800"
"In post","2023","Commercial","LGBO","300","300","44550","39260"
"In post","2023","Commercial","Undeclared","580","555","45750","42620"
"In post","2023","Commercial","Unknown","1310","1280","47150","40760"
"In post","2023","Communications","Heterosexual / straight","2755","2650","43870","40840"
"In post","2023","Communications","LGBO","245","245","43160","41550"
"In post","2023","Communications","Undeclared","310","295","42780","40160"
"In post","2023","Communications","Unknown","800","780","44360","41230"
"In post","2023","Corporate Finance","Heterosexual / straight","65","65","51710","45340"
"In post","2023","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Undeclared","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Unknown","30","30","58440","45820"
"In post","2023","Counter Fraud","Heterosexual / straight","6530","6045","31630","28120"
"In post","2023","Counter Fraud","LGBO","405","395","31370","28120"
"In post","2023","Counter Fraud","Undeclared","820","740","31410","28120"
"In post","2023","Counter Fraud","Unknown","1840","1670","32250","28130"
"In post","2023","Digital, Data and Technology","Heterosexual / straight","15415","15010","44830","41480"
"In post","2023","Digital, Data and Technology","LGBO","1080","1065","43640","39590"
"In post","2023","Digital, Data and Technology","Undeclared","2110","2055","44260","41510"
"In post","2023","Digital, Data and Technology","Unknown","4550","4450","43720","39730"
"In post","2023","Economics","Heterosexual / straight","1465","1435","49960","51460"
"In post","2023","Economics","LGBO","150","150","46580","40670"
"In post","2023","Economics","Undeclared","170","165","49990","51690"
"In post","2023","Economics","Unknown","375","370","47220","41550"
"In post","2023","Finance","Heterosexual / straight","7570","7250","43390","39450"
"In post","2023","Finance","LGBO","330","320","42210","38120"
"In post","2023","Finance","Undeclared","830","790","42870","39690"
"In post","2023","Finance","Unknown","1490","1430","40740","37300"
"In post","2023","Geography","Heterosexual / straight","305","290","34140","34370"
"In post","2023","Geography","LGBO","15","15","[c]","[c]"
"In post","2023","Geography","Undeclared","35","30","33760","34370"
"In post","2023","Geography","Unknown","125","120","30410","28070"
"In post","2023","Human Resources","Heterosexual / straight","9790","9360","40100","35650"
"In post","2023","Human Resources","LGBO","590","580","41720","37520"
"In post","2023","Human Resources","Undeclared","935","900","37910","34300"
"In post","2023","Human Resources","Unknown","1685","1630","39380","35000"
"In post","2023","Inspector of Education and Training","Heterosexual / straight","950","930","66440","68340"
"In post","2023","Inspector of Education and Training","LGBO","65","65","69930","77470"
"In post","2023","Inspector of Education and Training","Undeclared","40","40","68210","66170"
"In post","2023","Inspector of Education and Training","Unknown","35","30","64860","59460"
"In post","2023","Intelligence Analysis","Heterosexual / straight","2345","2245","35060","32000"
"In post","2023","Intelligence Analysis","LGBO","115","115","35260","32000"
"In post","2023","Intelligence Analysis","Undeclared","350","330","35400","32250"
"In post","2023","Intelligence Analysis","Unknown","425","415","35060","32250"
"In post","2023","Internal Audit","Heterosexual / straight","590","560","48030","45480"
"In post","2023","Internal Audit","LGBO","35","35","48930","44450"
"In post","2023","Internal Audit","Undeclared","80","75","49310","44710"
"In post","2023","Internal Audit","Unknown","60","60","44240","42040"
"In post","2023","International Trade","Heterosexual / straight","1325","1300","49110","43520"
"In post","2023","International Trade","LGBO","150","150","48840","44020"
"In post","2023","International Trade","Undeclared","115","115","51730","55370"
"In post","2023","International Trade","Unknown","565","555","47630","42490"
"In post","2023","Knowledge and Information Management","Heterosexual / straight","1730","1645","36140","33830"
"In post","2023","Knowledge and Information Management","LGBO","145","140","36160","32660"
"In post","2023","Knowledge and Information Management","Undeclared","300","285","36560","33840"
"In post","2023","Knowledge and Information Management","Unknown","330","315","36660","34170"
"In post","2023","Legal","Heterosexual / straight","7875","7385","52840","52600"
"In post","2023","Legal","LGBO","475","465","53960","53750"
"In post","2023","Legal","Undeclared","865","805","51840","52020"
"In post","2023","Legal","Unknown","2335","2155","52240","54320"
"In post","2023","Medicine","Heterosexual / straight","1695","1510","56660","43810"
"In post","2023","Medicine","LGBO","60","55","54080","43530"
"In post","2023","Medicine","Undeclared","215","195","64800","54660"
"In post","2023","Medicine","Unknown","490","420","59320","43810"
"In post","2023","Operational Delivery","Heterosexual / straight","182855","168245","30430","28120"
"In post","2023","Operational Delivery","LGBO","11660","11230","30020","28120"
"In post","2023","Operational Delivery","Undeclared","21670","19510","30130","28120"
"In post","2023","Operational Delivery","Unknown","56250","51255","28320","26840"
"In post","2023","Operational Research","Heterosexual / straight","755","720","46580","43990"
"In post","2023","Operational Research","LGBO","65","65","40600","38070"
"In post","2023","Operational Research","Undeclared","70","70","46330","44730"
"In post","2023","Operational Research","Unknown","265","260","37220","35740"
"In post","2023","Other","Heterosexual / straight","10405","9710","33660","28120"
"In post","2023","Other","LGBO","555","535","32570","28120"
"In post","2023","Other","Undeclared","1270","1185","33420","28120"
"In post","2023","Other","Unknown","4005","3845","36590","33690"
"In post","2023","Planning","Heterosexual / straight","180","170","46260","43700"
"In post","2023","Planning","LGBO","15","15","[c]","[c]"
"In post","2023","Planning","Undeclared","20","15","[c]","[c]"
"In post","2023","Planning","Unknown","25","20","[c]","[c]"
"In post","2023","Planning Inspectors","Heterosexual / straight","365","330","58580","60050"
"In post","2023","Planning Inspectors","LGBO","15","15","[c]","[c]"
"In post","2023","Planning Inspectors","Undeclared","45","35","58840","60050"
"In post","2023","Planning Inspectors","Unknown","45","40","56550","54350"
"In post","2023","Policy","Heterosexual / straight","22740","22070","49770","49370"
"In post","2023","Policy","LGBO","2475","2440","48490","44450"
"In post","2023","Policy","Undeclared","2485","2420","48670","45940"
"In post","2023","Policy","Unknown","5315","5210","48970","45020"
"In post","2023","Project Delivery","Heterosexual / straight","13300","12820","46250","42140"
"In post","2023","Project Delivery","LGBO","765","755","45130","41800"
"In post","2023","Project Delivery","Undeclared","1385","1335","47550","42510"
"In post","2023","Project Delivery","Unknown","2680","2600","43610","41000"
"In post","2023","Property","Heterosexual / straight","4845","4640","38930","35000"
"In post","2023","Property","LGBO","200","195","37400","33980"
"In post","2023","Property","Undeclared","590","555","39320","35840"
"In post","2023","Property","Unknown","1315","1255","34620","31540"
"In post","2023","Psychology","Heterosexual / straight","1195","1150","38280","32420"
"In post","2023","Psychology","LGBO","75","75","35050","30940"
"In post","2023","Psychology","Undeclared","90","85","36240","32420"
"In post","2023","Psychology","Unknown","230","210","38100","32420"
"In post","2023","Science and Engineering","Heterosexual / straight","9070","8775","41780","39890"
"In post","2023","Science and Engineering","LGBO","515","510","37120","33830"
"In post","2023","Science and Engineering","Undeclared","1380","1310","41810","40420"
"In post","2023","Science and Engineering","Unknown","2345","2265","41210","39890"
"In post","2023","Security","Heterosexual / straight","6620","6450","34670","31270"
"In post","2023","Security","LGBO","285","280","36990","35000"
"In post","2023","Security","Undeclared","895","865","37190","38220"
"In post","2023","Security","Unknown","1710","1680","35310","30700"
"In post","2023","Social Research","Heterosexual / straight","1120","1065","45630","42370"
"In post","2023","Social Research","LGBO","155","150","42020","39300"
"In post","2023","Social Research","Undeclared","100","95","44660","40280"
"In post","2023","Social Research","Unknown","210","205","43260","39560"
"In post","2023","Statistics","Heterosexual / straight","2030","1950","46040","42510"
"In post","2023","Statistics","LGBO","235","235","43260","39620"
"In post","2023","Statistics","Undeclared","210","200","44750","41360"
"In post","2023","Statistics","Unknown","470","460","40570","38470"
"In post","2023","Tax","Heterosexual / straight","10605","10055","39170","35000"
"In post","2023","Tax","LGBO","805","775","36910","34700"
"In post","2023","Tax","Undeclared","1245","1155","41770","36890"
"In post","2023","Tax","Unknown","4735","4480","34370","34400"
"In post","2023","Unknown","Heterosexual / straight","17050","16435","44100","38330"
"In post","2023","Unknown","LGBO","1760","1725","41750","35510"
"In post","2023","Unknown","Undeclared","2200","2125","46200","41950"
"In post","2023","Unknown","Unknown","9265","8905","38510","33520"
"In post","2023","Veterinarian","Heterosexual / straight","275","260","44110","39110"
"In post","2023","Veterinarian","LGBO","15","15","[c]","[c]"
"In post","2023","Veterinarian","Undeclared","65","60","46520","49400"
"In post","2023","Veterinarian","Unknown","40","35","46070","44500"
"Leaver CS","2023","Commercial","Heterosexual / straight","260","[c]","41440","38330"
"Leaver CS","2023","Commercial","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Undeclared","35","[c]","46030","41870"
"Leaver CS","2023","Commercial","Unknown","105","[c]","35090","31700"
"Leaver CS","2023","Communications","Heterosexual / straight","245","[c]","43140","40050"
"Leaver CS","2023","Communications","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Undeclared","35","[c]","38920","39590"
"Leaver CS","2023","Communications","Unknown","85","[c]","38750","35410"
"Leaver CS","2023","Corporate Finance","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Heterosexual / straight","260","[c]","30080","28120"
"Leaver CS","2023","Counter Fraud","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Undeclared","45","[c]","29340","28120"
"Leaver CS","2023","Counter Fraud","Unknown","175","[c]","29900","27570"
"Leaver CS","2023","Digital, Data and Technology","Heterosexual / straight","1060","[c]","44720","40800"
"Leaver CS","2023","Digital, Data and Technology","LGBO","95","[c]","40780","37590"
"Leaver CS","2023","Digital, Data and Technology","Undeclared","135","[c]","43340","40720"
"Leaver CS","2023","Digital, Data and Technology","Unknown","635","[c]","43090","39260"
"Leaver CS","2023","Economics","Heterosexual / straight","145","[c]","37220","32540"
"Leaver CS","2023","Economics","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Economics","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","Economics","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Heterosexual / straight","470","[c]","41160","37300"
"Leaver CS","2023","Finance","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Undeclared","70","[c]","44100","40980"
"Leaver CS","2023","Finance","Unknown","210","[c]","40020","34250"
"Leaver CS","2023","Geography","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Geography","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Geography","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Human Resources","Heterosexual / straight","935","[c]","34110","29660"
"Leaver CS","2023","Human Resources","LGBO","65","[c]","41320","34300"
"Leaver CS","2023","Human Resources","Undeclared","95","[c]","34150","32950"
"Leaver CS","2023","Human Resources","Unknown","240","[c]","36680","31270"
"Leaver CS","2023","Inspector of Education and Training","Heterosexual / straight","125","[c]","67760","77470"
"Leaver CS","2023","Inspector of Education and Training","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Inspector of Education and Training","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","Heterosexual / straight","115","[c]","33350","30500"
"Leaver CS","2023","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","Intelligence Analysis","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Heterosexual / straight","45","[c]","47710","42950"
"Leaver CS","2023","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","15","[c]","[c]","[c]"
