"Status","Year","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Female","530","485","31090","28480"
"In post","2023","Bedfordshire and Hertfordshire","Bedford","Male","375","365","33830","30880"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Female","190","180","32160","28120"
"In post","2023","Bedfordshire and Hertfordshire","Central Bedfordshire","Male","265","255","34060","32500"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Female","1710","1560","36450","32420"
"In post","2023","Bedfordshire and Hertfordshire","Hertfordshire CC","Male","1120","1100","38760","34060"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Female","340","295","27950","27650"
"In post","2023","Bedfordshire and Hertfordshire","Luton","Male","240","225","29730","27650"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","1390","1280","33990","31280"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","1455","1425","38360","37010"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Female","1005","935","33800","30940"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Male","705","680","36650","34060"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","1010","945","32770","28540"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","1130","1105","37290","33940"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Female","1405","1280","34330","30930"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Male","1195","1155","36080","33910"
"In post","2023","Cheshire","Cheshire East","Female","785","720","32460","28880"
"In post","2023","Cheshire","Cheshire East","Male","520","495","32940","28880"
"In post","2023","Cheshire","Cheshire West and Chester","Female","355","320","30030","28120"
"In post","2023","Cheshire","Cheshire West and Chester","Male","180","170","30770","28120"
"In post","2023","Cheshire","Warrington","Female","1430","1325","34210","32540"
"In post","2023","Cheshire","Warrington","Male","1235","1200","37620","36040"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","965","840","28480","28120"
"In post","2023","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","765","730","29690","27470"
"In post","2023","Cumbria","East Cumbria","Female","615","545","30130","25920"
"In post","2023","Cumbria","East Cumbria","Male","490","470","30020","25920"
"In post","2023","Cumbria","West Cumbria","Female","820","720","27670","25920"
"In post","2023","Cumbria","West Cumbria","Male","545","530","34120","30320"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Female","740","630","27020","25300"
"In post","2023","Derbyshire and Nottinghamshire","Derby","Male","395","380","31270","28120"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Female","270","230","28280","28120"
"In post","2023","Derbyshire and Nottinghamshire","East Derbyshire","Male","115","115","33220","28120"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Female","625","570","31610","28120"
"In post","2023","Derbyshire and Nottinghamshire","North Nottinghamshire","Male","520","500","32570","28880"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Female","5230","4795","33430","28840"
"In post","2023","Derbyshire and Nottinghamshire","Nottingham","Male","4175","4050","34450","31510"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Female","575","535","34790","30360"
"In post","2023","Derbyshire and Nottinghamshire","South Nottinghamshire","Male","485","470","34250","30440"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Female","715","640","34000","29470"
"In post","2023","Derbyshire and Nottinghamshire","South and West Derbyshire","Male","510","485","38430","32920"
"In post","2023","Devon","Devon CC","Female","2875","2540","32440","28120"
"In post","2023","Devon","Devon CC","Male","2980","2855","35690","32920"
"In post","2023","Devon","Plymouth","Female","1600","1430","31210","28120"
"In post","2023","Devon","Plymouth","Male","1720","1665","35040","32500"
"In post","2023","Devon","Torbay","Female","250","200","27860","28120"
"In post","2023","Devon","Torbay","Male","115","105","29340","28120"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Female","445","385","29210","28120"
"In post","2023","Dorset and Somerset","Bournemouth, Christchurch and Poole","Male","330","310","29600","27650"
"In post","2023","Dorset and Somerset","Dorset","Female","1065","965","30690","28120"
"In post","2023","Dorset and Somerset","Dorset","Male","1190","1140","32700","30880"
"In post","2023","Dorset and Somerset","Somerset CC","Female","1235","1110","31770","28120"
"In post","2023","Dorset and Somerset","Somerset CC","Male","1305","1265","35600","34300"
"In post","2023","East Anglia","Breckland and South Norfolk","Female","255","235","31070","28480"
"In post","2023","East Anglia","Breckland and South Norfolk","Male","305","290","33310","31510"
"In post","2023","East Anglia","Cambridgeshire CC","Female","1640","1530","34030","30440"
"In post","2023","East Anglia","Cambridgeshire CC","Male","1825","1765","36760","33830"
"In post","2023","East Anglia","North and West Norfolk","Female","430","385","28730","28120"
"In post","2023","East Anglia","North and West Norfolk","Male","525","505","31920","31920"
"In post","2023","East Anglia","Norwich and East Norfolk","Female","1095","955","29850","28120"
"In post","2023","East Anglia","Norwich and East Norfolk","Male","965","930","32650","28880"
"In post","2023","East Anglia","Peterborough","Female","1065","940","29200","25980"
"In post","2023","East Anglia","Peterborough","Male","670","625","31530","28080"
"In post","2023","East Anglia","Suffolk CC","Female","2265","2035","30390","28120"
"In post","2023","East Anglia","Suffolk CC","Male","2030","1960","32460","30320"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Female","6715","6150","35780","30630"
"In post","2023","East Wales","Cardiff and Vale of Glamorgan","Male","5755","5590","37350","33200"
"In post","2023","East Wales","Flintshire and Wrexham","Female","1175","1085","29680","28120"
"In post","2023","East Wales","Flintshire and Wrexham","Male","1070","1045","31030","29410"
"In post","2023","East Wales","Monmouthshire and Newport","Female","3305","3030","34640","31330"
"In post","2023","East Wales","Monmouthshire and Newport","Male","2660","2575","39980","37760"
"In post","2023","East Wales","Monmouthshire and Newport","Unknown","5","5","[c]","[c]"
"In post","2023","East Wales","Powys","Female","320","295","33300","30320"
"In post","2023","East Wales","Powys","Male","270","260","30890","27470"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Female","790","720","30170","28480"
"In post","2023","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Male","1215","1150","32370","30410"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Female","1215","1065","29420","28120"
"In post","2023","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Male","960","910","30660","28590"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Female","610","535","27520","28100"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Male","285","270","28980","28090"
"In post","2023","Eastern Scotland","Angus and Dundee City","Female","1545","1420","29300","28120"
"In post","2023","Eastern Scotland","Angus and Dundee City","Male","985","955","29200","28120"
"In post","2023","Eastern Scotland","City of Edinburgh","Female","7500","7045","41560","36330"
"In post","2023","Eastern Scotland","City of Edinburgh","Male","6645","6475","41520","37060"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Female","610","555","31500","28120"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Male","650","620","35100","34300"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Female","95","85","33730","28120"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Male","45","45","31770","28120"
"In post","2023","Eastern Scotland","Falkirk","Female","1155","985","28730","28120"
"In post","2023","Eastern Scotland","Falkirk","Male","615","580","32450","28490"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Female","645","600","32870","30320"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Male","760","720","34490","33300"
"In post","2023","Eastern Scotland","West Lothian","Female","275","250","36160","28120"
"In post","2023","Eastern Scotland","West Lothian","Male","180","175","37890","31970"
"In post","2023","Essex","Essex Haven Gateway","Female","505","460","31690","31280"
"In post","2023","Essex","Essex Haven Gateway","Male","415","405","33170","31280"
"In post","2023","Essex","Essex Thames Gateway","Female","695","615","29420","29050"
"In post","2023","Essex","Essex Thames Gateway","Male","230","220","30100","31280"
"In post","2023","Essex","Heart of Essex","Female","725","665","32980","29870"
"In post","2023","Essex","Heart of Essex","Male","510","500","35130","31660"
"In post","2023","Essex","Southend-on-Sea","Female","280","235","30270","31280"
"In post","2023","Essex","Southend-on-Sea","Male","145","135","33290","31280"
"In post","2023","Essex","Thurrock","Female","190","175","28870","27650"
"In post","2023","Essex","Thurrock","Male","210","200","27440","25980"
"In post","2023","Essex","West Essex","Female","335","300","33060","31280"
"In post","2023","Essex","West Essex","Male","315","290","31390","27650"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","5725","5305","37550","34000"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","8195","8025","42360","41000"
