"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","1245","1145","26200","25480"
"In post","2023","Bedfordshire and Hertfordshire","EO","1480","1360","30050","30120"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","455","435","62220","60220"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","40","40","91540","91850"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","1100","1065","39960","39000"
"In post","2023","Bedfordshire and Hertfordshire","Unknown","445","415","30280","29050"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","2985","2820","27620","25340"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","EO","2230","2100","30860","29140"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","840","790","61620","58880"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","SCS level","70","65","98070","93860"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","2495","2395","39670","38790"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Unknown","675","635","30530","28950"
"In post","2023","Cheshire","AA/AO","1305","1185","25400","23230"
"In post","2023","Cheshire","EO","1290","1215","31330","30740"
"In post","2023","Cheshire","G6/G7","375","360","58530","57640"
"In post","2023","Cheshire","SCS level","20","20","87470","84570"
"In post","2023","Cheshire","SEO/HEO","1150","1110","40200","40440"
"In post","2023","Cheshire","Unknown","370","345","29610","26840"
"In post","2023","Cornwall and Isles of Scilly","AA/AO","640","575","21760","21690"
"In post","2023","Cornwall and Isles of Scilly","EO","565","515","27860","28120"
"In post","2023","Cornwall and Isles of Scilly","G6/G7","95","90","60370","56450"
"In post","2023","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cornwall and Isles of Scilly","SEO/HEO","300","285","36340","34300"
"In post","2023","Cornwall and Isles of Scilly","Unknown","125","110","29380","26500"
"In post","2023","Cumbria","AA/AO","1065","960","23390","22150"
"In post","2023","Cumbria","EO","520","470","27680","26850"
"In post","2023","Cumbria","G6/G7","135","130","57050","53750"
"In post","2023","Cumbria","SCS level","5","5","[c]","[c]"
