"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AA","Female","60","45","23200","22920"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AA","Male","25","20","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AO","Female","215","195","25380","24490"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AO","Male","220","215","32040","28990"
"In post","2023","Aberdeen City and Aberdeenshire","EO","EO","Female","340","305","30400","29100"
"In post","2023","Aberdeen City and Aberdeenshire","EO","EO","Male","295","285","32120","31290"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G6","Male","25","20","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G7","Female","60","55","59650","57370"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G7","Male","60","60","66830","58850"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Female","150","140","36840","36330"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Male","160","155","39600","38330"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Female","120","110","50610","47860"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Male","165","155","62980","49860"
"In post","2023","Angus and Dundee City","AA/AO","AA","Female","345","310","22890","22180"
"In post","2023","Angus and Dundee City","AA/AO","AA","Male","240","235","22950","22180"
"In post","2023","Angus and Dundee City","AA/AO","AO","Female","335","300","22690","21690"
"In post","2023","Angus and Dundee City","AA/AO","AO","Male","225","215","22680","21690"
"In post","2023","Angus and Dundee City","EO","EO","Female","545","505","29130","29100"
"In post","2023","Angus and Dundee City","EO","EO","Male","330","325","29240","29100"
"In post","2023","Angus and Dundee City","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2023","Angus and Dundee City","G6/G7","G6","Male","20","20","[c]","[c]"
"In post","2023","Angus and Dundee City","G6/G7","G7","Female","45","45","57080","55990"
"In post","2023","Angus and Dundee City","G6/G7","G7","Male","30","30","58490","55990"
"In post","2023","Angus and Dundee City","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","SEO/HEO","HEO","Female","180","175","35250","34730"
"In post","2023","Angus and Dundee City","SEO/HEO","HEO","Male","100","95","35210","34300"
"In post","2023","Angus and Dundee City","SEO/HEO","SEO","Female","70","65","43400","42860"
"In post","2023","Angus and Dundee City","SEO/HEO","SEO","Male","40","40","44230","42860"
"In post","2023","Antrim and Newtownabbey","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","AA/AO","AA","Male","85","85","21500","22130"
"In post","2023","Antrim and Newtownabbey","AA/AO","AO","Female","15","15","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","AA/AO","AO","Male","20","20","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","EO","EO","Female","10","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","EO","EO","Male","30","30","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","HEO","Female","10","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","HEO","Male","15","15","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2023","Ards and North Down","AA/AO","AA","Male","85","80","21780","22130"
"In post","2023","Ards and North Down","AA/AO","AO","Female","20","20","[c]","[c]"
"In post","2023","Ards and North Down","AA/AO","AO","Male","40","40","22950","22500"
"In post","2023","Ards and North Down","EO","EO","Female","10","10","[c]","[c]"
"In post","2023","Ards and North Down","EO","EO","Male","15","15","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2023","Ards and North Down","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","HEO","Female","10","10","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","HEO","Male","10","10","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","SEO","Male","10","5","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","EO","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","AA/AO","AO","Female","60","50","25330","25480"
"In post","2023","Barking & Dagenham and Havering","AA/AO","AO","Male","40","40","27010","25610"
"In post","2023","Barking & Dagenham and Havering","EO","EO","Female","215","190","32260","32520"
"In post","2023","Barking & Dagenham and Havering","EO","EO","Male","140","135","32230","32520"
"In post","2023","Barking & Dagenham and Havering","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","HEO","Female","35","30","38940","39150"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","HEO","Male","20","20","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","SEO","Female","15","15","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","SEO","Male","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Unknown","Unknown","Female","70","65","34020","33050"
"In post","2023","Barking & Dagenham and Havering","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Barnet","AA/AO","AA","Female","25","20","[c]","[c]"
"In post","2023","Barnet","AA/AO","AA","Male","15","10","[c]","[c]"
