"Status","Year","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","AA","1545","1435","24660","23500"
"In post","2023","London","AO","10255","9505","27850","26400"
"In post","2023","London","EO","19805","18745","31450","31310"
"In post","2023","London","G6","9365","9005","71220","69920"
"In post","2023","London","G7","20605","20020","58290","56480"
"In post","2023","London","HEO","19480","19050","36850","36180"
"In post","2023","London","SCS level","4415","4260","92640","83520"
"In post","2023","London","SEO","15800","15440","44400","43650"
"In post","2023","London","Unknown","2460","2335","35250","33050"
"In post","2023","Outside London","AA","17130","15470","21980","22180"
"In post","2023","Outside London","AO","107420","96915","24280","22520"
"In post","2023","Outside London","EO","106950","98845","28610","28120"
"In post","2023","Outside London","G6","10905","10485","70650","69940"
"In post","2023","Outside London","G7","32910","31670","55750","55000"
"In post","2023","Outside London","HEO","64220","61365","34540","34300"
"In post","2023","Outside London","SCS level","2660","2575","92410","85130"
"In post","2023","Outside London","SEO","46225","44440","42610","41800"
"In post","2023","Outside London","Unknown","21395","19950","31230","29050"
"In post","2023","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","AO","50","50","29700","26740"
"In post","2023","Overseas","EO","200","200","34890","33510"
"In post","2023","Overseas","G6","440","440","69550","66800"
"In post","2023","Overseas","G7","870","865","57710","56100"
"In post","2023","Overseas","HEO","1035","1035","40290","35810"
"In post","2023","Overseas","SCS level","290","290","87530","77770"
"In post","2023","Overseas","SEO","475","475","48830","46000"
"In post","2023","Overseas","Unknown","150","150","52350","43590"
"In post","2023","Unknown","AA","30","25","22730","23230"
"In post","2023","Unknown","AO","165","160","23610","21780"
"In post","2023","Unknown","EO","380","350","28070","28120"
"In post","2023","Unknown","G6","30","30","68350","66860"
"In post","2023","Unknown","G7","95","90","56590","55790"
"In post","2023","Unknown","HEO","165","155","37940","35240"
"In post","2023","Unknown","SCS level","15","15","99000","85680"
"In post","2023","Unknown","SEO","125","120","44850","43190"
"In post","2023","Unknown","Unknown","1710","1705","41910","40000"
"Leaver CS","2023","London","AA","270","[c]","22690","23000"
"Leaver CS","2023","London","AO","1490","[c]","24770","25480"
"Leaver CS","2023","London","EO","2260","[c]","29940","30460"
"Leaver CS","2023","London","G6","785","[c]","70040","68270"
"Leaver CS","2023","London","G7","1760","[c]","56810","55500"
"Leaver CS","2023","London","HEO","1825","[c]","35130","34550"
"Leaver CS","2023","London","SCS level","470","[c]","98450","89000"
"Leaver CS","2023","London","SEO","1395","[c]","42910","42170"
"Leaver CS","2023","London","Unknown","285","[c]","[c]","[c]"
"Leaver CS","2023","Outside London","AA","2485","[c]","21030","20100"
"Leaver CS","2023","Outside London","AO","12970","[c]","22560","21690"
"Leaver CS","2023","Outside London","EO","8110","[c]","28100","27570"
"Leaver CS","2023","Outside London","G6","740","[c]","71470","69560"
"Leaver CS","2023","Outside London","G7","1840","[c]","56030","54540"
"Leaver CS","2023","Outside London","HEO","3715","[c]","34100","33630"
"Leaver CS","2023","Outside London","SCS level","240","[c]","100090","94300"
"Leaver CS","2023","Outside London","SEO","3000","[c]","42380","41370"
"Leaver CS","2023","Outside London","Unknown","1875","[c]","39660","34180"
"Leaver CS","2023","Overseas","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","G6","10","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","G7","30","[c]","67870","67840"
"Leaver CS","2023","Overseas","HEO","65","[c]","44660","44040"
"Leaver CS","2023","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Overseas","SEO","20","[c]","49110","47770"
"Leaver CS","2023","Overseas","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AO","50","[c]","22220","21690"
"Leaver CS","2023","Unknown","EO","70","[c]","29160","28120"
"Leaver CS","2023","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G7","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","HEO","45","[c]","33790","32000"
