"Status","Year","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","AA/AO","AA","Female","9130","7860","22110","22520"
"In post","2023","AA/AO","AA","Male","9575","9070","22290","22180"
"In post","2023","AA/AO","AO","Female","67260","58120","23690","22500"
"In post","2023","AA/AO","AO","Male","50635","48510","25800","22520"
"In post","2023","EO","EO","Female","72420","65275","28770","28120"
"In post","2023","EO","EO","Male","54915","52865","29440","28120"
"In post","2023","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","G6/G7","G6","Female","10080","9550","70480","68980"
"In post","2023","G6/G7","G6","Male","10660","10410","71260","70260"
"In post","2023","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","G6/G7","G7","Female","27130","25820","56380","55610"
"In post","2023","G6/G7","G7","Male","27345","26820","57110","56340"
"In post","2023","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","SCS level","SCS level","Female","3535","3370","90000","82390"
"In post","2023","SCS level","SCS level","Male","3845","3770","94540","85410"
"In post","2023","SEO/HEO","HEO","Female","44990","42615","34820","34400"
"In post","2023","SEO/HEO","HEO","Male","39905","38985","35520","34700"
"In post","2023","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","SEO/HEO","SEO","Female","31920","30415","42720","42140"
"In post","2023","SEO/HEO","SEO","Male","30710","30060","43520","42510"
"In post","2023","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","17240","15975","30720","29050"
"In post","2023","Unknown","Unknown","Male","8475","8165","35700","32500"
"Leaver CS","2023","AA/AO","AA","Female","1385","[c]","20910","20100"
"Leaver CS","2023","AA/AO","AA","Male","1370","[c]","21470","21380"
"Leaver CS","2023","AA/AO","AO","Female","8110","[c]","22380","21780"
"Leaver CS","2023","AA/AO","AO","Male","6400","[c]","23450","21780"
"Leaver CS","2023","EO","EO","Female","5765","[c]","28330","28120"
"Leaver CS","2023","EO","EO","Male","4675","[c]","28740","28090"
"Leaver CS","2023","G6/G7","G6","Female","695","[c]","70260","67970"
"Leaver CS","2023","G6/G7","G6","Male","845","[c]","71150","68960"
"Leaver CS","2023","G6/G7","G7","Female","1720","[c]","55960","54700"
"Leaver CS","2023","G6/G7","G7","Male","1925","[c]","56900","55630"
"Leaver CS","2023","SCS level","SCS level","Female","325","[c]","94830","87340"
"Leaver CS","2023","SCS level","SCS level","Male","395","[c]","103080","94060"
"Leaver CS","2023","SEO/HEO","HEO","Female","2860","[c]","34330","33840"
"Leaver CS","2023","SEO/HEO","HEO","Male","2795","[c]","34800","34090"
"Leaver CS","2023","SEO/HEO","SEO","Female","2095","[c]","42000","41480"
"Leaver CS","2023","SEO/HEO","SEO","Male","2335","[c]","43080","42000"
"Leaver CS","2023","Unknown","Unknown","Female","1535","[c]","34340","31920"
"Leaver CS","2023","Unknown","Unknown","Male","845","[c]","39430","35720"
"Leaver Dept.","2023","AA/AO","AA","Female","80","[c]","20750","19930"
"Leaver Dept.","2023","AA/AO","AA","Male","75","[c]","22510","22080"
"Leaver Dept.","2023","AA/AO","AO","Female","1495","[c]","22270","21780"
"Leaver Dept.","2023","AA/AO","AO","Male","1055","[c]","22500","21780"
"Leaver Dept.","2023","EO","EO","Female","2070","[c]","28120","28120"
"Leaver Dept.","2023","EO","EO","Male","1500","[c]","28140","28120"
"Leaver Dept.","2023","G6/G7","G6","Female","370","[c]","67460","66490"
"Leaver Dept.","2023","G6/G7","G6","Male","300","[c]","68060","66970"
"Leaver Dept.","2023","G6/G7","G7","Female","1010","[c]","54720","54700"
"Leaver Dept.","2023","G6/G7","G7","Male","910","[c]","55240","54700"
"Leaver Dept.","2023","SCS level","SCS level","Female","190","[c]","85000","78870"
"Leaver Dept.","2023","SCS level","SCS level","Male","200","[c]","93840","84040"
"Leaver Dept.","2023","SEO/HEO","HEO","Female","2130","[c]","33480","33250"
"Leaver Dept.","2023","SEO/HEO","HEO","Male","1555","[c]","33840","33570"
"Leaver Dept.","2023","SEO/HEO","SEO","Female","1255","[c]","41260","41130"
"Leaver Dept.","2023","SEO/HEO","SEO","Male","980","[c]","41400","41200"
"Leaver Dept.","2023","Unknown","Unknown","Female","115","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Male","65","[c]","[c]","[c]"
"New entrant CS","2023","AA/AO","AA","Female","2425","[c]","22280","22180"
"New entrant CS","2023","AA/AO","AA","Male","1890","[c]","22830","23230"
